G, G, G, 1, G, G, G, 1, G, G, G, 2, G, T, 2, G, G, G, 1, G
G, 2, G, G, 3, G, G, 2, T, G, 3, T, G, 2, T, G, 2, T, G, G
T, T, G, 2, T, 3, G, T, 3, G, T, T, 2, G, 2, G, T, G, 3, G
G, 3, G, G, 4, G, T, 3, G, G, T, 3, G, G, T, 2, G, T, T, 1
1, G, 2, T, G, 2, 3, G, G, 1, G, G, G, T, 2, G, 3, T, G, G
G, G, G, 3, G, G, G, 2, G, G, G, 2, G, 3, G, G, G, T, 2, G
2, T, G, G, 2, G, G, T, 3, G, 2, T, T, T, 2, T, T, G, 3, G
G, 2, G, T, G, 3, T, G, T, 2, G, G, 3, G, G, G, 3, G, T, G
G, G, 2, G, G, G, 2, G, G, 2, G, G, G, 2, G, G, G, 2, G, 1
T, G, G, 1, G, G, G, 1, G, G, 1, G, T, T, 1, G, G, G, 1, G
1, G, G, G, 1, 1, 2, G, G, G, 2, G, G, G, 2, G, G, 1, G, G
G, 2, G, T, 3, G, T, 2, T, G, T, 3, G, 2, T, G, 2, T, G, T
T, T, G, 2, T, 3, G, G, 3, G, T, T, 2, G, 2, G, G, T, 3, G
G, 3, G, G, 4, T, G, 3, T, G, G, 3, G, G, G, 2, G, G, G, 1
1, G, 2, T, G, 2, 3, T, G, 1, G, G, T, T, 2, G, 3, T, G, G
T, G, G, 3, G, G, G, 2, G, G, G, 2, G, 3, G, G, G, T, 2, G
2, G, G, G, 2, G, G, G, 3, G, 2, T, G, G, 2, T, T, G, 3, G
G, 2, T, G, G, 3, T, G, T, 2, G, G, 3, T, G, G, 3, G, T, G
G, G, 2, G, G, G, 2, G, G, 2, G, G, G, 2, G, G, G, 2, G, 1
G, G, G, 1, G, G, G, 1, G, G, 1, G, G, G, 1, G, G, G, 1, G
