1, G, T, T, 2, 2, 2, 1, 1, 1, 2, 1, 1, 1, T, 2, 1, G, 2, 2
T, G, T, 4, 3, T, T, 2, 2, T, G, T, 1, G, G, T, G, 3, T, T
T, 4, 2, T, G, G, G, 3, T, 3, T, G, G, 3, T, 3, T, 4, T, 4
T, 2, G, G, T, 2, T, G, G, 2, G, 3, T, T, 4, G, 1, 4, T, 3
2, 3, 3, T, G, 2, G, 1, G, G, G, T, 5, T, T, 2, 1, 4, T, 4
G, T, T, 2, G, 1, 2, 2, 2, 3, T, G, T, G, G, G, T, 4, T, T
3, 4, 3, G, G, T, G, T, T, 3, T, 3, 1, 1, 1, G, 2, G, T, G
T, T, 1, G, T, 3, 3, 2, 2, 2, G, G, 1, 1, G, T, 1, 1, 2, 2
G, 3, 2, G, G, T, 3, 2, G, 1, G, 2, T, 3, 2, 3, 2, 1, G, T
G, G, T, 2, T, T, 4, T, T, 2, G, 3, T, 4, T, 2, T, G, 2, G
T, T, G, 5, G, T, G, G, 4, T, G, G, T, 4, G, G, G, T, G, G
2, G, T, T, T, G, G, T, G, G, G, T, 3, G, T, T, 2, 1, G, 1
1, 2, 4, T, G, 3, 4, G, 3, 2, 4, T, G, 4, T, G, G, G, G, T
2, T, G, 1, 3, T, T, T, G, T, T, G, G, T, T, 3, T, 2, G, G
T, 2, 1, G, 2, T, G, 4, 4, 5, T, T, T, G, 4, G, 3, T, 2, 1
1, 1, G, 1, 3, 4, T, 2, T, T, 5, T, 3, 2, T, T, G, 3, T, G
G, G, G, G, T, T, 3, 4, G, 6, T, G, 2, G, 2, G, G, T, 3, G
G, G, G, 1, 2, 2, 3, T, T, T, T, T, 2, 1, 1, G, T, 4, T, G
G, G, G, G, 2, 1, 2, T, T, 5, 4, 4, T, G, 2, T, T, 4, 3, T
G, G, 1, T, T, G, 1, 2, G, T, G, 2, T, 3, T, 3, G, G, T, 2
