T, 3, T, 3, T, 3, T, G, 2, T, 3, T, 2, 2, T, 2, G, 2, T, 3
3, T, 4, T, 4, T, 3, 2, T, 4, T, 4, T, 3, 2, T, 3, 4, T, T
T, 4, T, 3, 4, T, G, 3, 3, T, 3, 5, T, G, 2, 3, T, T, 5, 3
3, T, 4, T, 3, 3, T, T, 4, 3, T, 4, T, 4, T, 4, 4, T, 4, T
T, 3, T, 4, T, 4, 4, T, T, 3, 3, T, 3, 4, T, T, 4, 3, T, 3
2, G, 2, 4, T, T, 4, 3, G, 3, T, 4, T, 4, 4, T, 4, T, 4, T
T, 3, T, 3, 4, T, T, 3, 2, T, 3, 4, T, T, 3, 2, G, T, 5, 2
2, T, 4, T, 4, 4, T, T, 4, 3, T, 3, G, 4, T, 3, 3, T, 4, T
G, 2, 4, T, T, 4, 4, T, T, 4, 3, T, 2, 3, T, T, 4, 3, T, 3
2, T, 3, 4, T, T, 3, 3, T, 4, T, 4, T, 4, 4, T, 4, T, 3, T
T, 4, T, 3, 4, T, G, 3, 3, T, 3, 5, T, T, 3, 3, T, G, 4, 2
3, T, 3, T, 3, 3, T, T, 4, 3, T, 4, T, 5, T, 4, 3, T, 3, T
T, 3, G, 3, T, 4, 4, T, T, 4, 3, T, 3, 4, T, T, 4, 3, T, 3
3, T, 2, 3, T, T, 4, 4, T, 4, T, 3, T, 3, 4, T, 5, T, 4, T
T, 4, T, 3, 4, T, T, 4, 3, T, 3, 4, G, T, 3, 3, T, T, 5, 2
3, T, 4, T, 4, 4, T, T, 4, 3, T, 3, T, 4, T, 4, 4, T, 4, T
T, 2, 3, T, T, 4, 4, T, T, 4, 3, T, 3, 4, T, T, 4, 3, T, 2
2, G, 2, 4, T, T, 3, 4, T, 4, T, 4, T, 4, 4, T, 5, T, 3, G
T, 3, T, 3, 3, G, T, 4, 3, T, 3, 5, T, T, 3, 3, T, T, 3, 0
2, T, 3, T, 1, 2, T, T, 2, 2, T, 3, T, 4, T, 2, 3, T, 2, G
